INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (1, '20240001', 'daltonstainburn', 'PATIENT', 'alfred','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (2, '20240002', 'juanacrenshaw', 'PATIENT', 'john','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (3, '20240003', 'hedvigeharbottle', 'PATIENT', 'anna','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (4, '20240004', 'donnellnicolson', 'PATIENT', 'kim','cruz', '09197765432');
INSERT INTO public.user (user_id, username, user_password, user_type,first_name,last_name,contact_number) VALUES (5, '20240005', 'ashleighryhorovich', 'PATIENT', 'keith','cruz', '09197765432');



INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (1, '20240001', 'daltonstainburn', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (2, '20240002', 'juanacrenshaw', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (3, '20240003', 'hedvigeharbottle', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (4, '20240004', 'donnellnicolson', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (5, '20240005', 'ashleighryhorovich', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (6, '20240006', 'cortneyjacobi', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (7, '20240007', 'kainbarthram', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (8, '20240008', 'gannonmacarthur', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (9, '20240009', 'kylenrieger', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (10, '20240010', 'beilulboden', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (11, '20240011', 'cherlyncartmel', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (12, '20240012', 'brenastoakes', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (13, '20240013', 'trudiedavidek', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (14, '20240014', 'bradtarpey', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (15, '20240015', 'robinettelympany', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (16, '20240016', 'jobynagreenley', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (17, '20240017', 'piernorth', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (18, '20240018', 'opalineseal', 'PATIENT');
INSERT INTO registrydatabase.user (user_id, username, user_password, user_role) VALUES (19, '20240019', 'enricahumfrey', 'PATIENT');
